"|,""latitude"",""longitude"",""sicaklik"",""timestamp"""
"-LwUYeDvqX2lKNP10Tl4,""40.742264"",""30.325671"",""8.717448"",""1576782439631"""
"-LwUYi5z2NPAYF2xOyH1,""40.742264"",""30.325671"",""8.717448"",""1576782455523"""
"-LwUYluAufZs19xLGc0i,""40.742264"",""30.325671"",""8.717448"",""1576782471072"""
"-LwUYphCRGMMrS9MGxIM,""40.742264"",""30.325671"",""8.717448"",""1576782486635"""
"-LwUYtVLnns4q51DMevj,""40.742264"",""30.325671"",""8.717448"",""1576782502195"""
"-LwUYxIUEpxA_96MHSaB,""40.742264"",""30.325671"",""8.717448"",""1576782517764"""
"-LwUZ05mA5P5qjpjhg8A,""40.742264"",""30.325671"",""8.717448"",""1576782533324"""
"-LwUZ3tp0yilclkvTDwU,""40.742264"",""30.325671"",""8.717448"",""1576782548972"""
"-LwUZ7iLqfG43FARLodt,""40.742264"",""30.325671"",""8.717448"",""1576782564524"""
"-LwUZC1hj-y5hSmtGM2q,""40.742264"",""30.325671"",""6.276042"",""1576782582242"""
"-LwUZFqDYMaSzag3XxFM,""40.742264"",""30.325671"",""6.276042"",""1576782597801"""
"-LwUZJfA0DqztIg0HGqi,""40.742264"",""30.325671"",""8.717448"",""1576782613484"""
"-LwUZNTQ_LLGGdYIk6vq,""40.742264"",""30.325671"",""8.717448"",""1576782629097"""
"-LwUZRRMGoKiwI5GiuDm,""40.742264"",""30.325671"",""8.717448"",""1576782645488"""
"-LwUZVHLIqCp7PP5M95t,""40.742264"",""30.325671"",""6.276042"",""1576782661041"""
"-LwUZZ4YlT6C3SSFH2t2,""40.742264"",""30.325671"",""6.276042"",""1576782676669"""
"-LwUZbtgCA5467xXHpcP,""40.742264"",""30.325671"",""8.717448"",""1576782692231"""
"-LwUZfgwpRKU_6Sajsg_,""40.742264"",""30.325671"",""8.717448"",""1576782707799"""
"-LwUZjV7BLxWH73ktMUu,""40.742264"",""30.325671"",""8.717448"",""1576782723359"""
"-LwUZnICc19iyCnIUNe2,""40.742264"",""30.325671"",""8.717448"",""1576782738917"""
"-LwUZr5Du1c0n4B9fXLX,""40.742264"",""30.325671"",""5.869141"",""1576782754471"""
"-LwUZutMt99F7mLm4udC,""40.742264"",""30.325671"",""6.276042"",""1576782770032"""
"-LwUZygPlYYB6zXUbpib,""40.742264"",""30.325671"",""6.276042"",""1576782785597"""
"-LwU_1UfwbI42pyOaQWI,""40.742264"",""30.325671"",""6.276042"",""1576782801152"""
"-LwU_5HvVeQSNfx7ciWX,""40.742264"",""30.325671"",""8.717448"",""1576782816722"""
"-LwU_94tuYjDsT4cjnIq,""40.742264"",""30.325671"",""6.276042"",""1576782832278"""
"-LwU_Ct5YAEStrsh7TKJ,""40.742264"",""30.325671"",""8.717448"",""1576782847835"""
"-LwU_Gg6mn4RT5Ny99EZ,""40.742264"",""30.325671"",""8.717448"",""1576782863392"""
"-LwU_KUELtd3okEpvjKJ,""40.742264"",""30.325671"",""6.276042"",""1576782878981"""
"-LwU_OI6VaxUrAdsEzx4,""40.742264"",""30.325671"",""6.276042"",""1576782894570"""
"-LwU_S5TP1AD4btjN70P,""40.742264"",""30.325671"",""8.717448"",""1576782910138"""
"-LwU_Vta7sYAWS7aOqzJ,""40.742264"",""30.325671"",""8.717448"",""1576782925695"""
"-LwU_ZsKy-DOHsTSTD0J,""40.742264"",""30.325671"",""8.717448"",""1576782942088"""
"-LwU_cgubQUmeZeThXbS,""40.742264"",""30.325671"",""8.717448"",""1576782957651"""
"-LwU_gV6frhTr6VLtLba,""40.742264"",""30.325671"",""8.717448"",""1576782973214"""
"-LwU_kIGXMBBOX0_dHg7,""40.742264"",""30.325671"",""8.717448"",""1576782988782"""
"-LwU_o5VVHpQIU5oDRiX,""40.742264"",""30.325671"",""8.717448"",""1576783004344"""
"-LwU_rtcnklW_AkIFbXq,""40.742264"",""30.325671"",""8.717448"",""1576783019912"""
"-LwU_vgpoK9Yvl9lsbhZ,""40.742264"",""30.325671"",""6.276042"",""1576783035476"""
"-LwU_zV6rSugj_dRg1Jk,""40.742264"",""30.325671"",""8.717448"",""1576783051045"""
"-LwUa2IJN2MK4DeczLkc,""40.742264"",""30.325671"",""8.717448"",""1576783066609"""
"-LwUa65SzVdIYGVJxVOg,""40.742264"",""30.325671"",""6.276042"",""1576783082168"""
"-LwUa9tXq0EhZ54X__LD,""40.742264"",""30.325671"",""8.717448"",""1576783097732"""
"-LwUaDggNdCOCUsVKbOL,""40.742264"",""30.325671"",""6.276042"",""1576783113283"""
"-LwUaHUzBKt86Wes427r,""40.742264"",""30.325671"",""8.310547"",""1576783128861"""
"-LwUaLIIKxxP--xZiPco,""40.742264"",""30.325671"",""8.310547"",""1576783144433"""
"-LwUaP5qgVzyV31gbXhq,""40.742264"",""30.325671"",""8.310547"",""1576783160020"""
"-LwUaSuB5a3HGNQFbiCc,""40.742264"",""30.325671"",""8.310547"",""1576783175598"""
"-LwUaWqvI13smGmvJBmx,""40.742264"",""30.325671"",""8.310547"",""1576783191768"""
"-LwUa_e4DmlzNy33pmZ4,""40.742264"",""30.325671"",""8.310547"",""1576783207325"""
"-LwUadSF3eEMikzfvhy-,""40.742264"",""30.325671"",""8.310547"",""1576783222900"""
"-LwUahFWSG0VC9t3e8xd,""40.742264"",""30.325671"",""8.310547"",""1576783238459"""
"-LwUal2emBnn1RU-4TZO,""40.742264"",""30.325671"",""8.310547"",""1576783254026"""
"-LwUaoqti4lkTCnXL4bB,""40.742264"",""30.325671"",""8.310547"",""1576783269790"""
"-LwUashF62NS8Xl0H-8q,""40.742264"",""30.325671"",""8.310547"",""1576783285353"""
"-LwUawVV1b5ET2w7WNb5,""40.742264"",""30.325671"",""8.717448"",""1576783300918"""
"-LwUb-IfOcoUcAcJPlkU,""40.742264"",""30.325671"",""6.276042"",""1576783316487"""
"-LwUb35uY4587lLt--iE,""40.742264"",""30.325671"",""8.717448"",""1576783332064"""
"-LwUb6uL6d6z96o9k3JP,""40.742264"",""30.325671"",""8.717448"",""1576783347626"""
